"cohort_id","conversation_id","sampling_group","customer_message","retrieved_precedent","agent_response","human_correctness","human_groundedness","human_relevance","human_helpfulness","human_safety","human_overall","human_notes","reviewer_name","reviewed_at","review_status"
"11","conv_1676602","common_support","have been charged for annual Prime membership!! Did not sign up for this...how do I get a refund?","Sorry to hear this. How much were you charged? What Amazon site do you use? For example .co.uk .com etc","Sorry to hear this. How much were you charged? What Amazon site do you use? For example .co.uk .com etc","4","5","4","4","5","4","Billing dispute (unauthorized Prime charge) handled with safe clarifying questions rather than promising a refund outright — good for a payment case.","Ansh","2026-09-11","HUMAN_VERIFIED"
"12","conv_522639","high_risk","New way of stealing from home- started by Amazon!!! Reverse orders picked up from home, delivery boy doesnot give receipt, amazon says they dont have proof, money and product both lost!!!!!!! [LINK]","Hi, Christine! Just to clarify, your order was ok? Nothing was missing or damaged?","Hi, Christine! Just to clarify, your order was ok? Nothing was missing or damaged?","3","5","3","3","4","3","Fraud-like claim (reverse pickup, no receipt, money and item both lost) gets only a generic 'was your order OK' question rather than a targeted escalation route for the specific allegation.","Ansh","2026-09-11","HUMAN_VERIFIED"
"13","conv_1019500","rare_intent","You're not acknowledging a return that I put in an Amazon locker six days ago. How do I inquire about that?","When an item is eligible to be returned through an Amazon Locker, the option will appear while creating the return! You can learn more about eligible returns with a Locker here: [LINK]","When an item is eligible to be returned through an Amazon Locker, the option will appear while creating the return! You can learn more about eligible returns with a Locker here: [LINK]","2","5","2","2","5","2","Customer says a Locker return wasn't acknowledged after 6 days; reply just explains general Locker return eligibility, not addressing the acknowledgment issue itself.","Ansh","2026-09-11","HUMAN_VERIFIED"
"14","conv_101751","high_risk","amazonIN Order id-4__credit_card__. Order date-4th oct 2017. Payment already done. But till today, haven't received my order. Wrote 2 separate mails also, but not proper reply from your side. Highly disappointed. Is this the way u treat your customers?? [LINK]","Hello! We don't have account access via Twitter, but we'd like to help. Which one of our marketplaces do you shop with?","Hello! We don't have account access via Twitter, but we'd like to help. Which one of our marketplaces do you shop with?","4","5","4","4","5","4","Good safe-escalation pattern for a no-account-access channel: no refund promised, asks which marketplace to route the unreceived-order complaint.","Ansh","2026-09-11","HUMAN_VERIFIED"
"15","conv_2273510","high_risk","unlock my account by tomorrow PLEASE email: __email__","I get your disappointment, Rakesh. All the account related issues are handled by the account specialist team. Request 1/2","I get your disappointment, Rakesh. All the account related issues are handled by the account specialist team. Request 1/2","4","5","4","3","5","4","Correctly routes an urgent account-unlock request to the account specialist team, though the reply is truncated ('1/2') before full instructions.","Ansh","2026-09-11","HUMAN_VERIFIED"
"16","conv_1339616","high_risk","ordered phone on twice money got deducted from acc &amp; twice amazon says payment failed. on retrying they charging more. Disgusting.","I'm sorry for the unexpected charge! Please reach us by phone here: [LINK] to look into this with you.","I'm sorry for the unexpected charge! Please reach us by phone here: [LINK] to look into this with you.","5","5","5","4","5","5","Directly acknowledges the double-charge/payment issue and gives a phone contact to investigate — safe and on-topic.","Ansh","2026-09-11","HUMAN_VERIFIED"
"17","conv_1652449","ambiguous","I called your customer service thrice and also contacted the seller. You people are the worst","We apologize for the issue regarding your latest order, Anupam. Kindly fill in your details here: [LINK] so that we can look into the issue and resolve it as soon as possible.","We apologize for the issue regarding your latest order, Anupam. Kindly fill in your details here: [LINK] so that we can look into the issue and resolve it as soon as possible.","4","5","4","4","5","4","Reasonable apology and request for order details to look into a repeated unresolved complaint.","Ansh","2026-09-11","HUMAN_VERIFIED"
"18","conv_173525","high_risk","Amazon Japan has not charged me for Misfire yet. Am concerned I'm not going to get it. :\","We're sorry for the unexpected charge! Was this from a recent purchase or subscription fee: [LINK]","We're sorry for the unexpected charge! Was this from a recent purchase or subscription fee: [LINK]","1","5","1","2","4","2","Customer is worried about NOT being charged yet (fears missing out on the item); reply addresses an unexpected/unwanted charge — the opposite scenario.","Ansh","2026-09-11","HUMAN_VERIFIED"
"19","conv_423202","common_support","Waybill No : 57990878562, All FAKE updates... when am i getting my shipment delivered?????????????????????????","Sorry about the issues with delivery. We'd like to check this. Please share your details here: [LINK] 1/2","Sorry about the issues with delivery. We'd like to check this. Please share your details here: [LINK] 1/2","4","5","4","4","5","4","Appropriately acknowledges fake tracking updates and asks for shipment details to investigate.","Ansh","2026-09-11","HUMAN_VERIFIED"
"20","conv_390008","high_risk","Hi Amazon my account has been closed without reason please help . There is no proper response from __email__","If your account is suspended, you must have received an email from our Account Specialist team. Kindly respond to the correspondence and they will assist you further. Please don't provide your order details, we consider it to be personal information.","If your account is suspended, you must have received an email from our Account Specialist team. Kindly respond to the correspondence and they will assist you further. Please don't provide your order details, we consider it to be personal information.","5","5","5","4","5","5","Correct, safe escalation path for an account-suspension complaint — points to the Account Specialist email and explicitly avoids requesting order/account details publicly.","Ansh","2026-09-11","HUMAN_VERIFIED"
"21","conv_380568","rare_intent","Sometimes I love , they provide one-day delivery even without paying for one.","I'm sorry your order didn't arrive as expected! To clarify, have you contacted us regarding the shipping charge? Let us know!","I'm sorry your order didn't arrive as expected! To clarify, have you contacted us regarding the shipping charge? Let us know!","2","5","2","2","5","2","Customer's tweet reads as a positive/sarcastic remark about getting free one-day delivery, not a complaint; reply assumes a failed delivery and apologizes for something that may not have happened.","Ansh","2026-09-11","HUMAN_VERIFIED"
"22","conv_2911715","rare_intent","Not real happy and . My stuff not here and now wont be here til friday. So much for two day delivery. #amazon #ups","Hi, I'm sorry to hear that. Did we create a free replacement for you? Of so, what was the estimated delivery date given to you in your confirmation email?","Hi, I'm sorry to hear that. Did we create a free replacement for you? Of so, what was the estimated delivery date given to you in your confirmation email?","4","5","4","4","5","4","Reasonably addresses a delayed two-day-delivery complaint by asking about a replacement and the promised delivery date.","Ansh","2026-09-11","HUMAN_VERIFIED"
"23","conv_592173","rare_intent","S/O to for Sunday deliveries","I'm sorry for the trouble you've had with your orders. Please contact us by phone or chat here: [LINK] so we can report this and go over your options.","I'm sorry for the trouble you've had with your orders. Please contact us by phone or chat here: [LINK] so we can report this and go over your options.","2","5","2","2","5","2","Message reads as a positive shoutout for Sunday deliveries, not a complaint; reply apologizes for 'trouble with your orders,' misreading the tone.","Ansh","2026-09-11","HUMAN_VERIFIED"
"24","conv_2440745","common_support","12 items 12 orders this month have not arrived on time and some haven't arrived at all. Their customer service isn't helping at all. This is only getting worse, and it's now giving me severe anxiety. Having to call up every day is exhausting! :(","I'm so sorry for the frustration, Roy! This is not the experience we want for our customers! We'd like to look into this in real-time. Please reach out to us through phone or chat here: [LINK]","I'm so sorry for the frustration, Roy! This is not the experience we want for our customers! We'd like to look into this in real-time. Please reach out to us through phone or chat here: [LINK]","5","5","5","5","5","5","Empathetic, on-topic response to a real pattern of late/missing orders, with a concrete real-time escalation channel.","Ansh","2026-09-11","HUMAN_VERIFIED"
"25","conv_2604899","rare_intent","Xbox bundles in Black Friday sale not shipping to Ireland?","I'm sorry for the poor experience! What was the delivery date provided at checkout or in your order confirmation email?","I'm sorry for the poor experience! What was the delivery date provided at checkout or in your order confirmation email?","2","5","2","2","5","2","Customer is asking about regional shipping availability for a specific product; reply asks about a missed delivery date for an order that was never described as placed.","Ansh","2026-09-11","HUMAN_VERIFIED"
"26","conv_259363","rare_intent",".It's worst [LINK] day over to return product and I didn't get any confirmation msg/email .","That's unusual. Please reach out to us here: [LINK] we'd like to help.","That's unusual. Please reach out to us here: [LINK] we'd like to help.","4","5","4","4","5","4","Reasonable acknowledgment and escalation link for a missing return-confirmation issue.","Ansh","2026-09-11","HUMAN_VERIFIED"
"27","conv_458867","common_support",". all those earnings and this is the customer service my Prime membership pays for? #amazon #callcenterqualms #onhold #whereismyorder #whycantyoutellme #mayispeaktoyoursupervisor","I'm very sorry about this issue. Have you noticed a trend in late packages with a certain carrier?","I'm very sorry about this issue. Have you noticed a trend in late packages with a certain carrier?","4","5","3","3","5","3","Addresses the delivery-timeliness angle of a broader customer-service rant, but sidesteps the call-center/Prime-value complaint entirely.","Ansh","2026-09-11","HUMAN_VERIFIED"
"28","conv_323385","common_support","they have hired worst delivery persons they will call you at 8'O clock in the morning to collect you order to you office address","I'm sorry for the delivery issues! Are you currently experiencing an issue with an order?","I'm sorry for the delivery issues! Are you currently experiencing an issue with an order?","3","5","3","3","5","3","Generic clarifying question for a complaint about delivery scheduling/rude collection calls — safe but not tailored.","Ansh","2026-09-11","HUMAN_VERIFIED"
"29","conv_2410453","rare_intent","Oh thanks My stuff got delivered three days early. Great! &lt;3","What does your most recent tracking show? If it doesn't arrive as scheduled, contact us: [LINK]","What does your most recent tracking show? If it doesn't arrive as scheduled, contact us: [LINK]","1","5","1","1","4","1","Customer is thanking Amazon for early delivery; reply asks about tracking and implies a possible delivery problem, completely misreading a positive message.","Ansh","2026-09-11","HUMAN_VERIFIED"
"30","conv_180694","common_support","my order arrived damaged. given packaging by fulfillment center, awful packaging is cause. Last pic showing crystals on bottom [LINK]","Hello, I am sorry for that. Who is the carrier in charge of the delivery?","Hello, I am sorry for that. Who is the carrier in charge of the delivery?","3","5","3","3","5","3","Customer blames the fulfillment center's packaging for damage; reply asks about the carrier instead, a related but not quite matching angle.","Ansh","2026-09-11","HUMAN_VERIFIED"
"31","conv_1408077","ambiguous","#onlineshopping Could have selected any other option instead Amazon India. Worst experience","Sorry for any inconvenience you've faced. Please let us know if any of your concerns went unaddressed.","Sorry for any inconvenience you've faced. Please let us know if any of your concerns went unaddressed.","3","5","3","3","5","3","Generic apology for a vague 'worst experience' complaint with no specifics to work with.","Ansh","2026-09-11","HUMAN_VERIFIED"
"32","conv_323787","high_risk","facing this issue while using #amazonpay raised several calls Hopeless customer care [LINK]","Sorry to hear that. You may use this link: [LINK] &amp; we'll check your details and help you with your concern.","Sorry to hear that. You may use this link: [LINK] &amp; we'll check your details and help you with your concern.","4","5","4","4","5","4","Reasonable generic escalation link for an Amazon Pay issue after repeated failed calls.","Ansh","2026-09-11","HUMAN_VERIFIED"
"33","conv_562925","common_support","your customer service policy is garbage and the ups driver almost certainly stole my package","I'm sorry to hear this! Without using personal or account information, do you care to tell us more about what's happened?","I'm sorry to hear this! Without using personal or account information, do you care to tell us more about what's happened?","5","5","4","4","5","4","Appropriately safe response to a package-theft allegation — asks for more detail while explicitly avoiding requesting personal/account info.","Ansh","2026-09-11","HUMAN_VERIFIED"
"34","conv_474345","rare_intent","Now a days has a new technic of selling goods. Once sold will be never taken back No matter of your several return request. [LINK]","I am not sure I understand what you are asking. Without providing account details could you tell me more about what's going on?","I am not sure I understand what you are asking. Without providing account details could you tell me more about what's going on?","3","5","3","3","5","3","Reply asks for clarification without account details, which is safe, but doesn't show it understood the complaint about denied return requests.","Ansh","2026-09-11","HUMAN_VERIFIED"
"35","conv_2764392","high_risk","not received 100 rs. Cashback on first recharge.","Please connect with us using this link here: [LINK] and we'll check the cashback details for you. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.","Please connect with us using this link here: [LINK] and we'll check the cashback details for you. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.","5","5","5","5","5","5","Well-handled cashback complaint: safe escalation link plus an explicit warning not to share order details since the page is public.","Ansh","2026-09-11","HUMAN_VERIFIED"
"36","conv_2483967","rare_intent","got items deliverers today. However the pyjamas have not been delivered as stated. Please advise [LINK]","Sorry to know about the missing items. Kindly report this to our support team here: [LINK] and we'll be happy to help.","Sorry to know about the missing items. Kindly report this to our support team here: [LINK] and we'll be happy to help.","5","5","5","5","5","5","Directly acknowledges the missing pyjamas item and gives a support link to report it.","Ansh","2026-09-11","HUMAN_VERIFIED"
"37","conv_504975","common_support","Dear if i order something today on the first and pay for two day shipping and you ship it on the 13th.. do i get a refund on my shipping upgrade?","I'm so sorry for the delays, Craig! We'd like to look further into these with you in real-time here: [LINK]","I'm so sorry for the delays, Craig! We'd like to look further into these with you in real-time here: [LINK]","3","5","2","3","5","3","Customer asks a specific yes/no question about a shipping-upgrade refund; reply gives only a generic apology and escalation link without addressing the actual question.","Ansh","2026-09-11","HUMAN_VERIFIED"
"38","conv_2825547","high_risk","who's this hell using my mobile number for amazon shopping??? didnt find any of your contact number which can i able to contact u . find out this person who's using my number . this is my contact number - 9879482001 which is already using someone else [LINK]","I'm sorry for the trouble you're having accessing your account; we'd love to help! Have you reviewed these troubleshooting steps yet: [LINK]","I'm sorry for the trouble you're having accessing your account; we'd love to help! Have you reviewed these troubleshooting steps yet: [LINK]","2","5","2","2","4","2","Customer reports someone else using their phone number on Amazon (identity misuse); reply treats it as a personal account-access/troubleshooting issue, missing the actual concern.","Ansh","2026-09-11","HUMAN_VERIFIED"
"39","conv_363987","high_risk","ok i got an email saying payment declined but the money has left my account what is the truth","Hello, I am very sorry to hear this. Without sharing any personal account details can you share with us what has occurred?","Hello, I am very sorry to hear this. Without sharing any personal account details can you share with us what has occurred?","5","5","5","4","5","5","Safe, appropriate response to a 'money left account but payment declined' discrepancy — asks for details without requesting account/personal info.","Ansh","2026-09-11","HUMAN_VERIFIED"
"40","conv_808178","ambiguous","#amazon #worstservicesever #looters A to Z worst services. #liers [LINK]","Apologies for the inconvenience with your order delivery, we certainly did not expect this to happen.1/3","Apologies for the inconvenience with your order delivery, we certainly did not expect this to happen.1/3","3","5","2","2","5","2","Message is a vague angry rant with no specifics; reply assumes a delivery-related complaint and is truncated ('1/3') before any concrete next step.","Ansh","2026-09-11","HUMAN_VERIFIED"
"41","conv_2240594","high_risk","Hey , nothing's the matter with my credit card. Just process my order. Thank you.","I really wish we could have that done however, delivery estimates are based on multiple factors, Rajiv. ^KS 1/2","I really wish we could have that done however, delivery estimates are based on multiple factors, Rajiv. ^KS 1/2","1","5","1","1","3","1","Customer says nothing is wrong with their card and asks to just process the order; reply talks about delivery-estimate factors, an unrelated topic.","Ansh","2026-09-11","HUMAN_VERIFIED"
"42","conv_1083853","common_support","why did my order suddenly go from 2 day shipping to possibly 5 day?","Two-Day Shipping refers to the transit time once an item is dispatched. Have we missed the delivery date given at checkout?","Two-Day Shipping refers to the transit time once an item is dispatched. Have we missed the delivery date given at checkout?","4","5","4","4","5","4","Reasonably explains the two-day shipping definition and asks about the delivery date for a shipping-estimate change complaint.","Ansh","2026-09-11","HUMAN_VERIFIED"
"43","conv_2303624","ambiguous","bring your sound bar's to India too","We haven't made an announcement on that yet. Please stay tuned for any update.","We haven't made an announcement on that yet. Please stay tuned for any update.","5","5","5","4","5","5","Direct, honest answer to a product-availability/region request — appropriately says no announcement yet.","Ansh","2026-09-11","HUMAN_VERIFIED"
"44","conv_2628897","high_risk","I have purchased a TV from your site and today sudden receive a cancellation mail because of pricing issue??5days spend now ur cs team ask cancellation due to wring pricing this is fraud case that u mentioned a wrong price my order no 402-5464344-9005130","I'm sorry for any troubles caused, Rob. Without sharing personal account information, could you let us know what happened with your order?","I'm sorry for any troubles caused, Rob. Without sharing personal account information, could you let us know what happened with your order?","5","5","4","4","5","5","Good safe-escalation pattern for a high-risk pricing/cancellation dispute the customer calls 'fraud' — asks for details without requesting personal account info.","Ansh","2026-09-11","HUMAN_VERIFIED"
"45","conv_2358919","rare_intent","When you order a ""cutlery"" tray but sends you a pillow thing instead, and the item isn't eligible for return? [LINK]","I'm sorry the item arrived damaged! Were you able to contact us to discuss available options here: [LINK]","I'm sorry the item arrived damaged! Were you able to contact us to discuss available options here: [LINK]","2","5","2","2","5","2","Customer received the wrong item (a pillow instead of a cutlery tray) and says it isn't return-eligible; reply assumes the item arrived damaged, a different scenario.","Ansh","2026-09-11","HUMAN_VERIFIED"
"46","conv_807297","ambiguous","Are you serious ? I was thinking to buy a bra case n amazon surprised me with its crazy cost.. [LINK]","I am sorry to hear this Michael. Can I ask, when did you purchase this item please? You may be within your 30 day return window and you can check this here: [LINK]","Thank you for contacting support. To ensure your request is handled securely, please reach out with your order details at [LINK] so a specialist can assist you.","3","3","2","3","4","3","Draft diverges from the precedent (which cited a 30-day return window) and instead gives a generic 'contact a specialist' redirect that doesn't engage with the price complaint itself.","Ansh","2026-09-11","HUMAN_VERIFIED"
