sample_index,conversation_id,customer_message,intent,expected_action,risk_level,sampling_group,reference_resolution,conversation_context,notes,dataset_heuristic_intent,dataset_heuristic_action,audit_status,reviewer_rationale_notes
11,conv_2714679,"Had escalated the issue thrice, they agreed that mistake is at thr end but nt refunding the amount. Cud u pls escalate from ur end? Reference Order#408-7048632-9893139",REFUND_NOT_RECEIVED,AUTO,LOW,common_support,"Apologies, we'd like to take a closer look into this. Please drop in your details here: [LINK] Please don't provide your order number, we consider it to be personal information. Our Twitter page is visible to the public.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Customer explicitly pursuing unreceived refund; mislabeled as CANCELLATION_REQUEST. Action set to ESCALATE based on dispute severity. | Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
12,conv_592173,S/O to for Sunday deliveries,GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,Glad we could help! Thanks for the shout out! :),2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Customer expression of praise/compliment misclassified by keyword matching as GENERAL_INQUIRY_FEEDBACK; proposed as GENERAL_INQUIRY_FEEDBACK (safe auto-handling). | Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
13,conv_701314,I am having problems logging into my account and resetting my password,ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"Hello Steve, sorry you're having login issues. If you navigate here: [LINK] and enter your email or mobile number the webpage will guide you through the steps to reset your password.",8-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
14,conv_1672901,I called ur #HelpDesk but was in mid sentence explaining my problem till I was disconnected! #Firestick #NotWorkingNow #HelpMe [LINK],DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,I'm sorry your tablet is frozen! Have you tried the troubleshooting found here? [LINK],6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
15,conv_2578447,"Hi guys, I've got an item I wish I return but I don't have the original packaging anymore, it got torn when I opened it, will this be a problem for returns if I repackage it myself?",RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,It won't be a problem at all! Just make sure to include your return mailing label.,2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
16,conv_2604899,Xbox bundles in Black Friday sale not shipping to Ireland?,GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,Sorry to hear. What error message does it give? Are you able to send us a link to the item?,5-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
17,conv_1876835,where is my order it's out for delivery since 2 days,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,Sorry to know about the delivery issue. Please connect with us here: [LINK] and we'll check this.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
18,conv_2754676,I have been charged 3 times on three different days for 1 item. Impossible to get anything out of a cust two that isn't an automated response. So frustrating!!,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,"I'm sorry to hear this, Tracy! We'd be happy to assist! For further clarification, what options were we able to provide when you previously contacted us?",4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
19,conv_2465496,#Kindle #AmazonIndia Any update on this [LINK],DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,We don't have any update on this at this point in time. Appreciate your understanding.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
20,conv_281657,hi is the Amazon call back option free or am I better phoning the 0800 number,GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,common_support,Sorry for the delay Brian- The call back option reverses the call so it's free. Anything we can help you with here?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Customer inquiry regarding phone/call-back channel options; mislabeled as CANCELLATION_REQUEST due to regex heuristic. | Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
21,conv_458867,. all those earnings and this is the customer service my Prime membership pays for? #amazon #callcenterqualms #onhold #whereismyorder #whycantyoutellme #mayispeaktoyoursupervisor,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,I am so sorry for your poor experience! Without sharing personal account information can you please explain a bit further what has happened?,10-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
22,conv_1037034,"ordered below during great Indian sale. Clearly told delivery agent to attempt delivery on Monday 23rd, which he accepted. But today morning woke up to see this #disappointed #poorservice now I can't get the offer back again, with no mistake of mine am suffering [LINK]",DELIVERY_DELAY,AUTO,LOW,common_support,"Apologies for the inconvenience with our logistics, Arun. Please reach us from here: [LINK] we'll assist.",10-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
23,conv_522639,"New way of stealing from home- started by Amazon!!! Reverse orders picked up from home, delivery boy doesnot give receipt, amazon says they dont have proof, money and product both lost!!!!!!! [LINK]",UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,We have responded to your concern. Kindly check the same here: [LINK],4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
24,conv_845678,Bought one+5 in exchange. Delivry guy takes replaced mobile damages it and refuses to take. Says do whatevr you want to do.,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,"I'm sorry for the inconvenience, have you reported this to our support team here [LINK] ?",14-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
25,conv_58082,I highly encourage everyone to NEVER preorder things from they can't provide an update on an item that i should have in 6 days.,CANCELLATION_REQUEST,AUTO,LOW,common_support,You will be e-mailed with any status updates. You can view communication here: [LINK],5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
26,conv_2550708,also your customer care can apologetically hang the call on us just because they don't have answer.,CANCELLATION_REQUEST,AUTO,LOW,common_support,We have responded to your concern here: [LINK] Please check.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
27,conv_1711420,com quem eu recebo suporte pro prime video?,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,"Olá, Uncaged. Sem compartilhar informações pessoais ou da sua conta, me diga, como posso ajudar você?",7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
28,conv_1660807,Hi pls cancel order 402-7468265-6772312 . I am unable to cancel it. Thanks,CANCELLATION_REQUEST,AUTO,LOW,common_support,We'd like to help. If the package is already been into the shipping process you would not be able to cancel from (1/2),4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
29,conv_2492240,"Forget writing my own house number on it, this time haven't even left a card telling me which neighbour my parcel is with. Seriously beginning to question if paying for Prime is worth it. #hopeless",PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"I am so sorry for the troubles with your order, Matt! We'd like to help out any way we can, but do not have access to account information here on Twitter. If you could reach us by Phone or Chat: [LINK] we would be happy to look into this for you!",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
30,conv_318813,ORDER # 404-1457179-8395559 Its showing issued refund but I have not received the credit yet ..,REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,Sorry about this experience. Please report this to us here: [LINK] and we'll look into this. (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
31,conv_1223553,"Hi, if I were to purchase the Mamas &amp; Papas two stage bath using prime will there be a guarantee that I will receive it tomorrow?",DELIVERY_DELAY,AUTO,LOW,common_support,Delivery dates vary by item availability and location. We'll provide the earliest possible delivery date during checkout after selecting your address.,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
32,conv_2504851,"Anyone else having mega problems with deliveries since they changed to Amazon Logistics? Almost every single delivery fails to come on time- cannot find address/nobody answered/nobody in, etc etc PRIME now total waste of money. This loyal customer is disillusioned.",DELIVERY_DELAY,AUTO,LOW,common_support,"I'm very sorry you've had a poor experience! This is not the service we want for our customers. Let's take a look into this further. When you have a free moment, please reach out to us here: [LINK]",7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
33,conv_2474964,Hey how precise is that green bar on my delivery tracking page? Is it arbitrary or can I plan my lunch around it and get back in time for delivery?,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"Hey Moif, what is the current status displayed and do you know who the carrier is?",5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
34,conv_50790,just got the echo dot. Setup isn't happening... Frustrating!,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,"I'm sorry about that, Avinash. Kindly connect with our support team here: [LINK] and we'll be glad to help you.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
35,conv_970842,Never got any Amazon Pay offer cashback for my ORDER # 405-7646271-1081115 #Amazon Seems like #AmazonPay cashback is fake !!,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"Please don't provide order details, we consider it to be personal information. Our page is visible to the public.(2/2)",3-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
36,conv_928358,I order only 1 product on Amazon on 15th October now today is 21st October still I didn't get the order..... wtf,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"That's strange, Rahul. Did we miss the order estimates?",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
37,conv_2832992,How much time will u take for refund. Pls send courier for collection of product . Call 8989932629 [LINK],REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,"I'm sorry for the delay in picking up your order. Please send your details via [LINK] and we'll look into this for you. Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public.",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
38,conv_816940,The order was delivered after refund initiated.Refund received.I do not want the product.Where to return it?,REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,We cannot take the item in return now or cancel the refund. You can keep the product with you.,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
39,conv_19214,"Can't change my new Email address with ! I'm repeatedly told: ""There was a problem with your Password""",ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"Hi, sorry to hear that you're having trouble logging in. Please contact us here:[LINK] to look into this.",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
40,conv_2911680,"Hey , very upset. My kindle just died. Now what do I do?",DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,I'm sorry about your Kindle! Please get in touch with us here for available options: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
41,conv_317500,is it possible to tell Alexa to play an album? When I ask (why play starboy by the weekend) she just plays the title track. TIA!,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,Reach us here: [LINK] so we can take a look for you.,3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
42,conv_1408077,#onlineshopping Could have selected any other option instead Amazon India. Worst experience,OTHER,ESCALATE,MEDIUM,ambiguous,That quite a statement. Could you let us know what went wrong? We'd like to help.,23-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
43,conv_1050256,"I haven't received a delivery notification from the app. NOTHING. Nothing that would've allowed me to make some effort to have this exposed package secured. Crazy right. This shipping GIANT, and the damn U.S. Postal Service can't get something SO simple right?",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,So sorry for the lack of packaging! This item may have been eligible for frustration free packaging. You can find more info about that here: [LINK] Can you please link us to the item? We want to make sure this is fixed for other deliveries,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
44,conv_562925,your customer service policy is garbage and the ups driver almost certainly stole my package,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"We'd like to assist, if possible! Without posting account or order details, can you tell us what happened?",5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
45,conv_2208237,Oh what I get a Twitch Prime membership with Amazon Prime now??? I guess I should use Twitch sometime then...,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"Yes, you do! Click here for more information about Twitch Prime: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
46,conv_807297,Are you serious ? I was thinking to buy a bra case n amazon surprised me with its crazy cost.. [LINK],OTHER,ESCALATE,MEDIUM,ambiguous,Thanks for flagging this. We'll have this reviewed internally.,2-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
47,conv_323798,what would I do if there is nothing in parcel when delivery arrived how can I return this type of parcel,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Sorry about that, please report that here: [LINK] and we'll check that for you.",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
48,conv_1263413,Yes you did. Your customer care told me that max 30 min i vl gt a call frm delivery boy. That also didn't happen. Poor service.,DELIVERY_DELAY,AUTO,LOW,common_support,I understand your concern regarding the order. Did we miss out on the estimated date?,8-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
49,conv_1420095,"My amazon account is locked since 27 of October, I sent four faxes, about 12 emails and called 9 times already. The account specialist send me the same email over and over again. Im tired of this, loosing prime days and I just have about 20 more days in the US.. Thanks .",UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,Sorry for the delay with getting your account unlocked. What was the last update provided to you by e-mail?,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
50,conv_128152,"damn my alexa sure must be busted up! everytime i ask her who the US president is she says it's adolf hitler with VP benito mussolini, what's the deal with that?",DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,"Thank you for letting us know about this. We'd like to have our Technical Specialists look into it. When you have a moment, please reach our Echo Support team here: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
51,conv_2805863,Ugh why does every single package I order come already ripped open??,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"I'm so sorry to hear your packages are coming to you damaged. Is the carrier the same for all your deliveries? If so, then please leave your package and carrier feedback here: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
52,conv_2273510,unlock my account by tomorrow PLEASE email: __email__,ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"I'm sorry for the account trouble! For your own security, please do not post personal information to Twitter as it is a public platform. Would you please confirm if you have received an e-mail from our account specialists? Keep us posted! We want to help!",17-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
53,conv_2828057,whats point having #AmazonPrime when the delivery is 3 days not 1?,DELIVERY_DELAY,AUTO,LOW,common_support,Sorry for any troubles caused! Did we miss your original estimated delivery date provided here: [LINK] ?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
54,conv_1506881,I forgot to cancel the amazon prime trial :-),PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"I'm sorry for the unexpected charge! You can view, and cancel your Prime membership here: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
